slot_filler_id,score_pop,score_mainstream,score_niche,model_tier,source_prediction_count
426,0.000131,0.047283,0.952586,niche,1
427,8.2e-05,0.008911,0.991008,niche,1
428,0.010059,0.018191,0.971751,niche,1
429,0.070008,0.107108,0.822884,niche,2
430,0.070008,0.107108,0.822884,niche,2
431,0.017873,0.041034,0.941093,niche,1
432,0.017873,0.041034,0.941093,niche,1
433,0.014411,0.084518,0.901071,niche,14
434,0.038335,0.544156,0.417509,mainstream,27
435,0.00874,0.01857,0.97269,niche,2
436,0.016705,0.062577,0.920718,niche,1
437,0.016705,0.062577,0.920718,niche,1
438,0.006654,0.606543,0.386804,mainstream,6
439,0.002992,0.723718,0.273291,mainstream,2
440,0.000893,0.144628,0.854479,niche,3
441,0.000304,0.012562,0.987133,niche,1
442,0.000135,0.001491,0.998374,niche,1
443,0.000135,0.001491,0.998374,niche,1
444,0.010889,0.088509,0.900602,niche,2
445,0.007528,0.065721,0.926752,niche,3
446,0.407672,0.263867,0.32846,pop,30
447,0.63007,0.085285,0.284645,pop,9
448,0.014876,0.30267,0.682454,niche,3
449,0.011536,0.551945,0.436519,mainstream,4
450,0.041386,0.042905,0.91571,niche,6
451,0.247954,0.03046,0.721586,niche,6
452,4.3e-05,0.008149,0.991807,niche,2
453,4.3e-05,0.008149,0.991807,niche,2
454,0.000717,0.043035,0.956247,niche,2
455,0.000717,0.043035,0.956247,niche,2
456,0.000159,0.006002,0.99384,niche,1
457,0.000159,0.006002,0.99384,niche,1
458,0.011154,0.093578,0.895269,niche,2
459,0.009371,0.167875,0.822754,niche,5
460,0.009298,0.117976,0.872726,niche,28
461,0.00222,0.242745,0.755035,niche,8
462,0.004264,0.494354,0.501382,niche,3
463,0.002246,0.334822,0.662932,niche,4
464,0.017502,0.037432,0.945066,niche,3
465,0.016605,0.064775,0.91862,niche,6
466,0.134011,0.347772,0.518217,niche,5
467,0.000143,0.000263,0.999594,niche,1
468,0.008585,0.220347,0.771068,niche,7
469,0.000264,0.003931,0.995805,niche,1
470,0.000987,0.019598,0.979415,niche,1
471,0.000987,0.019598,0.979415,niche,1
472,0.006526,0.578609,0.414864,mainstream,19
473,0.000741,0.022039,0.97722,niche,3
474,0.000638,0.017409,0.981953,niche,2
475,0.00221,0.269184,0.728606,niche,2
476,0.000344,0.000414,0.999242,niche,1
477,0.00202,0.41079,0.58719,niche,4
478,0.00202,0.41079,0.58719,niche,4
479,0.105453,0.476765,0.417783,mainstream,2
480,0.095133,0.261501,0.643365,niche,12
481,0.011423,0.165279,0.823298,niche,1
482,5.3e-05,0.002491,0.997456,niche,1
483,5.3e-05,0.002491,0.997456,niche,1
484,0.04811,0.100198,0.851692,niche,1
485,0.04811,0.100198,0.851692,niche,1
486,0.000641,0.22325,0.77611,niche,5
487,0.003872,0.516343,0.479785,mainstream,4
488,0.051817,0.007124,0.941059,niche,1
489,0.051817,0.007124,0.941059,niche,1
490,0.00011,0.013031,0.986858,niche,1
491,0.000169,0.010902,0.988929,niche,2
492,0.000169,0.010902,0.988929,niche,2
493,0.013437,0.043508,0.943056,niche,3
494,0.039741,0.108345,0.851914,niche,1
495,0.006161,0.15971,0.834129,niche,1
496,0.006161,0.15971,0.834129,niche,1
497,0.101177,0.230675,0.668148,niche,1
498,0.101177,0.230675,0.668148,niche,1
499,0.006848,0.537046,0.456106,mainstream,4
500,0.000683,0.125734,0.873583,niche,1
501,0.20623,0.214687,0.579083,niche,13
502,0.043898,0.005244,0.950858,niche,1
503,0.076022,0.168041,0.755937,niche,3
504,0.02672,0.177489,0.795791,niche,10
505,0.020071,0.358499,0.62143,niche,105
506,0.018059,0.488311,0.493629,niche,2
507,0.002788,0.738958,0.258254,mainstream,1
508,0.003272,0.561879,0.434849,mainstream,4
509,0.015189,0.180648,0.804163,niche,2
510,0.026488,0.247706,0.725805,niche,1
511,0.005539,0.082003,0.912458,niche,1
512,0.003903,0.092134,0.903963,niche,2
513,0.000412,0.004834,0.994754,niche,2
514,0.000412,0.004834,0.994754,niche,2
515,0.000424,0.008503,0.991073,niche,1
516,0.000424,0.008503,0.991073,niche,1
517,0.09846,0.257762,0.643778,niche,1
518,0.300776,0.142616,0.556608,niche,4
519,5e-05,0.023606,0.976344,niche,2
520,0.002727,0.035085,0.962189,niche,5
521,0.006917,0.019579,0.973504,niche,7
522,0.000375,0.009684,0.98994,niche,1
523,0.004189,0.078149,0.917661,niche,2
524,0.014025,0.114258,0.871717,niche,7
525,0.003619,0.189869,0.806513,niche,5
526,0.000744,0.941508,0.057748,mainstream,2
527,0.000744,0.941508,0.057748,mainstream,2
528,0.01409,0.140048,0.845862,niche,1
529,1.8e-05,0.001461,0.998521,niche,1
530,1.8e-05,0.001461,0.998521,niche,1
531,0.058943,0.297435,0.643622,niche,2
532,0.003505,0.014893,0.981602,niche,1
533,0.004829,0.248509,0.746662,niche,1
534,0.004829,0.248509,0.746662,niche,1
535,0.011682,0.032784,0.955533,niche,1
536,0.011682,0.032784,0.955533,niche,1
537,0.008207,0.606487,0.385306,mainstream,13
538,0.001083,0.174593,0.824324,niche,6
539,0.009347,0.019732,0.970921,niche,3
540,0.000934,0.003769,0.995297,niche,1
541,0.026568,0.526076,0.447356,mainstream,2
542,0.002307,0.71324,0.284452,mainstream,2
543,0.117849,0.070548,0.811602,niche,2
544,0.043663,0.132049,0.824288,niche,4
545,0.030172,0.19323,0.776598,niche,4
546,0.004109,0.085545,0.910346,niche,2
547,0.160206,0.558108,0.281686,mainstream,34
548,0.001413,0.013169,0.985418,niche,9
549,0.004767,0.003101,0.992132,niche,1
550,0.008171,0.965267,0.026562,mainstream,2
551,0.008171,0.965267,0.026562,mainstream,2
552,0.000446,0.046123,0.953431,niche,6
553,0.001332,0.155953,0.842714,niche,5
554,0.001076,0.267415,0.731509,niche,2
555,0.054215,0.138796,0.80699,niche,10
556,0.081036,0.266894,0.65207,niche,7
557,0.021458,0.255841,0.722701,niche,2
558,0.004379,0.560643,0.434978,mainstream,2
559,0.004379,0.560643,0.434978,mainstream,2
560,0.001436,0.037378,0.961186,niche,4
561,0.030835,0.212602,0.756562,niche,6
562,0.163955,0.215426,0.620619,niche,1
563,0.163955,0.215426,0.620619,niche,1
564,0.163955,0.215426,0.620619,niche,1
565,0.727035,0.118265,0.154699,pop,2
566,0.247109,0.02034,0.732551,niche,3
567,0.138583,0.022868,0.838549,niche,1
568,0.298892,0.372823,0.328285,mainstream,4
569,0.000885,0.016252,0.982862,niche,1
570,0.000885,0.016252,0.982862,niche,1
571,0.000841,0.133483,0.865677,niche,1
572,0.000635,0.105971,0.893394,niche,2
573,0.000538,3.7e-05,0.999425,niche,1
574,0.000538,3.7e-05,0.999425,niche,1
575,0.080938,0.477642,0.44142,mainstream,12
576,0.002682,0.022389,0.974928,niche,2
577,0.00026,0.003813,0.995927,niche,1
578,0.162446,0.055397,0.782158,niche,2
579,0.021664,0.062288,0.916048,niche,1
580,7.3e-05,0.015397,0.984531,niche,4
581,0.060395,0.49776,0.441845,mainstream,1
582,0.040885,0.613579,0.345535,mainstream,2
583,0.030271,0.680851,0.288878,mainstream,1
584,0.069062,0.568557,0.362381,mainstream,7
585,0.001069,0.129508,0.869423,niche,1
586,0.001069,0.129508,0.869423,niche,1
587,0.002709,0.124611,0.87268,niche,6
588,0.000863,0.103969,0.895169,niche,8
589,0.047708,0.276846,0.675446,niche,6
590,0.086319,0.031538,0.882143,niche,6
591,0.007083,0.227762,0.765155,niche,2
592,0.00473,0.152199,0.843071,niche,3
593,0.004771,0.057069,0.93816,niche,2
594,0.002624,0.015849,0.981527,niche,1
595,0.010932,0.818605,0.170463,mainstream,3
596,0.006052,0.881047,0.112901,mainstream,2
597,0.063247,0.184645,0.752108,niche,28
598,0.367978,0.051162,0.58086,niche,3
599,0.026881,0.266669,0.706451,niche,7
600,0.005073,0.563252,0.431675,mainstream,2
601,0.003906,0.453219,0.542876,niche,4
602,0.991788,0.003245,0.004968,pop,1
603,0.991788,0.003245,0.004968,pop,1
604,0.002828,0.001735,0.995436,niche,1
605,0.392574,0.163911,0.443515,niche,8
606,0.000273,0.006653,0.993074,niche,2
607,0.001047,0.017678,0.981275,niche,1
608,0.001047,0.017678,0.981275,niche,1
609,0.000694,0.037045,0.962261,niche,1
610,0.006645,0.187116,0.806238,niche,5
611,0.000418,0.084424,0.915157,niche,1
612,0.001073,0.002673,0.996254,niche,1
613,0.001073,0.002673,0.996254,niche,1
614,0.039224,0.108062,0.852714,niche,9
615,0.000731,0.368771,0.630499,niche,2
616,0.000731,0.368771,0.630499,niche,2
